From	To
O95758	ENSG00000119314
Q9BXT4	ENSG00000095627
Q5T8A7	ENSG00000196422
Q92989-2	ENSG00000172409
Q03111	ENSG00000130382
I3L2I9	ENSG00000181031
O60664	ENSG00000105355
Q96GS6	ENSG00000129968
Q8WW22	ENSG00000140403
Q8NFA2	ENSG00000196408
O43896	ENSG00000129250
F8W0A3	ENSG00000170515
Q969H8	ENSG00000074842
S4R3Y4	ENSG00000106927
Q9UJA5	ENSG00000089195
P30043	ENSG00000090013
Q8N6D5	ENSG00000154065
Q9NWB1	ENSG00000078328
Q9ULC4	ENSG00000232119
Q8N129	ENSG00000166997
Q9UHB6	ENSG00000050405
P48444	ENSG00000095139
H3BPJ5	ENSG00000127561
Q96EH3	ENSG00000156928
P01563	ENSG00000188379
Q8NHM5	ENSG00000089094
Q86TC9	ENSG00000138347
Q04760	ENSG00000124767
Q8IWJ2	ENSG00000135968
Q6UXB2	ENSG00000189377
O60336	ENSG00000137802
Q9H165	ENSG00000119866
Q4J6C6	ENSG00000138078
O60290	ENSG00000106479
O95721	ENSG00000099940
Q86V88	ENSG00000213920
P41271	ENSG00000158747
Q8N655	ENSG00000196233
Q8NFW1	ENSG00000169436
O43147	ENSG00000141258
Q96N20	ENSG00000162086
G5E9A7	ENSG00000185800
Q86XQ3	ENSG00000152705
Q6J4K2	ENSG00000089060
Q6P5R6	ENSG00000163584
Q8NC44	ENSG00000144567
Q9BRP7	ENSG00000255561
Q9BT17	ENSG00000148824
Q9H1C4	ENSG00000110057
O43909	ENSG00000012232
O95487	ENSG00000138802
Q14451-2	ENSG00000141738
P55327-5	ENSG00000076554
Q13886	ENSG00000119138
Q9Y4I1-2	ENSG00000197535
Q9BXN2-10	ENSG00000172243
P17600	ENSG00000008056
Q8IVW4	ENSG00000006837
O14978	ENSG00000006194
Q63HN8	ENSG00000173821
P35914	ENSG00000117305
Q05823	ENSG00000135828
Q9Y6A5	ENSG00000013810
Q9Y6E0	ENSG00000102572
Q8N0U2	ENSG00000143001
Q9BWH6-2	ENSG00000103932
Q96AG3	ENSG00000164209
Q6ZS10	ENSG00000187912
Q9UBS0	ENSG00000175634
I3L2I2	ENSG00000141503
Q9GZU1	ENSG00000090674
Q9Y2Y0	ENSG00000102931
Q92915	ENSG00000102466
H0YDM4	ENSG00000168172
A0A087WZ16	ENSG00000010295
Q9UM47	ENSG00000074181
H7C469	ENSG00000250644
F8WES2	ENSG00000099810
Q96QE2	ENSG00000151229
Q6ZMG9	ENSG00000172292
Q6PIK3	ENSG00000167578
P49903	ENSG00000086475
O75386	ENSG00000078246
O60563	ENSG00000129315
H3BTB7	ENSG00000103356
Q8WZA2	ENSG00000091428
F8WBG8	ENSG00000136279
Q17RQ9	ENSG00000179846
Q8IYW4	ENSG00000176177
H7C2K6	ENSG00000088367
P31939	ENSG00000138363
P51570	ENSG00000108479
P49902	ENSG00000076685
Q6ZS86	ENSG00000175066
Q6UXI7	ENSG00000205221
Q8TB03	ENSG00000185753
Q6UXN9	ENSG00000164091
G3V351	ENSG00000089775
P35520	ENSG00000160200
Q3SYG4	ENSG00000122507
Q8TB73	ENSG00000173376
Q4G148-2	ENSG00000151233
Q9H993	ENSG00000146476
A0A087X126	ENSG00000278540
Q9H7C9	ENSG00000087884
E9PEW8	ENSG00000223609
Q15436	ENSG00000100934
E5RGU3	ENSG00000044115
Q13586-2	ENSG00000167323
A2A3K4-2	ENSG00000158079
E9PN46	ENSG00000135426
Q8N6M0	ENSG00000155100
Q6DT37	ENSG00000171219
P37837	ENSG00000177156
Q9NPF0	ENSG00000167775
K7ESC7	ENSG00000161533
F8VWX1	ENSG00000139910
Q9UM00	ENSG00000143183
Q8NBF6	ENSG00000105778
Q16832	ENSG00000162733
H7C5T3	ENSG00000175455
Q719H9	ENSG00000134504
O75223	ENSG00000006625
Q15651	ENSG00000118418
O15018	ENSG00000133401
O75096	ENSG00000134569
F8WBH7	ENSG00000183527
Q6ZVK8	ENSG00000275074
O15231	ENSG00000147394
Q92600	ENSG00000144580
Q6ULP2	ENSG00000119844
Q6ZSG2	ENSG00000188916
Q9Y2E8	ENSG00000197818
Q5RI15	ENSG00000203667
Q8WYP5	ENSG00000153207
Q07092	ENSG00000084636
Q9BVN2	ENSG00000160753
P47985	ENSG00000169021
O95136	ENSG00000267534
Q6P4E1	ENSG00000166734
P14314	ENSG00000130175
Q6ZVD8	ENSG00000040199
Q8N3X1	ENSG00000109920
Q8IZQ5	ENSG00000211450
Q9Y2Q3-2	ENSG00000197448
O94875-10	ENSG00000154556
Q9BQK8	ENSG00000132793
Q9H3S7	ENSG00000076201
F8WCN3	ENSG00000237289
Q6UX15	ENSG00000204381
Q92851	ENSG00000003400
Q9UBB6	ENSG00000020129
J3QQV6	ENSG00000108439
Q13794-2	ENSG00000141682
Q9HCR9	ENSG00000128655
Q9UJF2	ENSG00000075391
Q9BYG7	ENSG00000134042
Q9Y328	ENSG00000170091
Q9BTZ2-4	ENSG00000157326
Q76NI1	ENSG00000171798
P22570	ENSG00000161513
Q7Z388	ENSG00000156162
Q9H9Y6	ENSG00000125630
A8MTJ3	ENSG00000214415
Q8WXG6	ENSG00000110514
Q99466	ENSG00000204301
B7ZBB8	ENSG00000219607
Q9C0B1-2	ENSG00000140718
H0YA21	ENSG00000123552
G3V5Q1	ENSG00000100823
Q96QB1-3	ENSG00000164741
Q13643	ENSG00000183386
P62140	ENSG00000213639
Q9NX63	ENSG00000106554
D6RHY3	ENSG00000151150
Q8TET4	ENSG00000214013
P78382	ENSG00000164414
A6NDU8	ENSG00000205765
P08621	ENSG00000104852
P12755	ENSG00000157933
Q9ULK6	ENSG00000170153
Q13310-2	ENSG00000090621
Q96LR9-2	ENSG00000178878
E7ESD3	ENSG00000077380
Q96G01	ENSG00000151746
P14678	ENSG00000125835
P32249	ENSG00000169508
Q8WUM4	ENSG00000170248
P33897	ENSG00000101986
K7ERB2	ENSG00000006125
Q96AX9-10	ENSG00000197530
Q7Z465	ENSG00000163141
F8WE18	ENSG00000106635
Q9H7E2-3	ENSG00000083544
Q9UMZ2	ENSG00000274047
P53367	ENSG00000164144
Q9UKZ4	ENSG00000009694
K7EKA8	ENSG00000073670
Q9BTY2	ENSG00000001036
Q6PF06	ENSG00000165275
Q9P121-4	ENSG00000182667
Q86SQ0	ENSG00000144824
Q16831	ENSG00000183696
Q86UT5	ENSG00000172367
O43929	ENSG00000115947
Q8NEG0	ENSG00000180219
P11233	ENSG00000006451
E9PQA8	ENSG00000117054
Q9ULA0	ENSG00000123992
P13761	ENSG00000196126
O14827	ENSG00000113319
B5MC22	ENSG00000242114
Q9UL01	ENSG00000111817
Q8IXQ3	ENSG00000135045
Q9UN72	ENSG00000204963
Q5TIE3	ENSG00000158816
F5H3X6	ENSG00000215021
P21217	ENSG00000171124
H0YEF2	ENSG00000167548
P31249	ENSG00000128652
O95628-10	ENSG00000080802
Q9NPG2	ENSG00000165553
Q9BXU1	ENSG00000196335
O15287	ENSG00000221829
C9J366	ENSG00000283154
Q8NFU3	ENSG00000215845
Q9H841	ENSG00000104361
A0A087WZ99	ENSG00000167674
P62995	ENSG00000136527
P55103	ENSG00000175189
O43556-3	ENSG00000127990
H3BQ86	ENSG00000103034
Q96CT7	ENSG00000007080
Q9H799	ENSG00000197603
Q9NRD5	ENSG00000100151
Q9UPQ9	ENSG00000100354
P84101	ENSG00000140264
P43681	ENSG00000101204
Q15831	ENSG00000118046
P43004	ENSG00000110436
O00206	ENSG00000136869
Q8NBZ0	ENSG00000169592
O95831	ENSG00000156709
H7BXP1	ENSG00000168256
Q9BQI3	ENSG00000086232
E7EV07	ENSG00000136002
Q9HBD1	ENSG00000056586
Q92633	ENSG00000198121
P15884-11	ENSG00000196628
O75911	ENSG00000162496
A0A087WTF6	ENSG00000149294
F8W8A6	ENSG00000198130
B1AKT2	ENSG00000033122
P82970	ENSG00000198157
Q96GX1	ENSG00000168778
Q92954	ENSG00000116690
Q9Y3M9	ENSG00000130684
Q4G0X9	ENSG00000141519
O60941-2	ENSG00000138101
Q7Z408-4	ENSG00000121904
P0C2L3	ENSG00000196990
Q86SK9	ENSG00000145284
Q12899	ENSG00000137313
P51668	ENSG00000072401
Q9P2B4	ENSG00000143079
O95967	ENSG00000172638
E9PMN1	ENSG00000112339
Q5TEC6	ENSG00000273213
E5RID7	ENSG00000147687
Q8WXX7	ENSG00000158321
Q9NXZ2	ENSG00000080007
H3BMJ4	ENSG00000174450
Q8N137	ENSG00000170037
P20337	ENSG00000169213
Q8TCG5	ENSG00000169169
C9JYA6	ENSG00000144048
P02787	ENSG00000091513
P01767	ENSG00000211967
Q92692-2	ENSG00000130202
Q9UK61	ENSG00000163946
Q3SXY8-2	ENSG00000169379
Q9HAU0	ENSG00000052126
H0YIT0	ENSG00000182979
O75324	ENSG00000184602
P40617	ENSG00000122644
P35442	ENSG00000186340
Q9UHC1	ENSG00000119684
Q86X83	ENSG00000114744
Q5T0F9-2	ENSG00000154222
P41223	ENSG00000106245
Q3BDU3	ENSG00000064933
Q96A46	ENSG00000155287
Q9UBK7-2	ENSG00000144134
K7EQ95	ENSG00000141837
Q12756	ENSG00000130294
Q9HA38	ENSG00000172667
Q96NT3-2	ENSG00000138867
Q96GY3	ENSG00000267796
P51790-2	ENSG00000109572
Q8NFJ6	ENSG00000101292
Q9H1C0	ENSG00000184574
Q16222	ENSG00000117143
P05771-2	ENSG00000166501
Q9BZ19	ENSG00000124227
Q9NZQ8	ENSG00000070985
Q92482	ENSG00000165272
Q92817	ENSG00000167880
B1AMN9	ENSG00000083544
Q8IV01	ENSG00000173227
Q96GN5-5	ENSG00000164649
Q68CQ7	ENSG00000016864
D6RAC5	ENSG00000145687
P04798	ENSG00000140465
Q9NWU1	ENSG00000151093
Q8IVF6	ENSG00000180071
O94916	ENSG00000102908
H0YH82	ENSG00000062485
P48751	ENSG00000114923
Q96CN5	ENSG00000169683
A6NJD9	ENSG00000214026
Q15326	ENSG00000015171
J3KN30	ENSG00000089041
Q9Y2G8	ENSG00000116138
Q8WV93	ENSG00000135537
P13498	ENSG00000051523
Q9Y366	ENSG00000101052
Q9NWB6	ENSG00000134884
Q8TA86	ENSG00000164610
E9PQ59	ENSG00000170322
Q9HAW7	ENSG00000244122
Q08188	ENSG00000125780
O95760	ENSG00000137033
P30825	ENSG00000139514
P17017	ENSG00000105708
Q9BUP3	ENSG00000109854
P63244	ENSG00000204628
Q9UGP5	ENSG00000166169
Q8N1W1	ENSG00000214944
A0A087WSY6	ENSG00000224041
Q8N4N8	ENSG00000141200
Q96IZ0	ENSG00000177425
Q4G0N8	ENSG00000172139
Q16538	ENSG00000250510
P23434	ENSG00000140905
Q9BZV1	ENSG00000167671
O76039	ENSG00000008086
Q6NTE8	ENSG00000161010
K7EKK2	ENSG00000126581
Q9H5V9	ENSG00000018610
Q8NB91	ENSG00000181544
Q96KA5	ENSG00000049656
Q96K21	ENSG00000166140
Q9GZX7	ENSG00000111732
Q5S007	ENSG00000188906
Q9BZG8	ENSG00000108963
C9JHQ8	ENSG00000106290
A8MVE2	ENSG00000104972
P18621	ENSG00000265681
Q9H0C5	ENSG00000064726
P22694-10	ENSG00000142875
Q8NHH9-2	ENSG00000119787
Q8IWQ3-5	ENSG00000174672
O95670	ENSG00000213760
Q96NT3	ENSG00000138867
A6NC57	ENSG00000181626
Q00G26	ENSG00000214456
O14522	ENSG00000196090
P08758	ENSG00000164111
O43586	ENSG00000140368
Q8ND83	ENSG00000139737
Q9Y2R5	ENSG00000239789
J3QRI9	ENSG00000108591
Q9BX82	ENSG00000196263
Q00577	ENSG00000185129
Q5VTR2	ENSG00000155827
P55036	ENSG00000159352
O60481	ENSG00000156925
Q14CM0	ENSG00000169933
M0QYJ8	ENSG00000130755
Q14055	ENSG00000049089
Q149M9	ENSG00000188039
Q5QPJ4	ENSG00000197586
H7BYW6	ENSG00000197461
P31645	ENSG00000108576
Q96H78	ENSG00000160785
O96009	ENSG00000131400
P52630	ENSG00000170581
Q96C45	ENSG00000168038
P63092	ENSG00000087460
Q9Y6X9	ENSG00000133422
D6RAN1	ENSG00000196923
Q08AH3	ENSG00000183747
O95248	ENSG00000100241
Q13043	ENSG00000101109
Q9NU53	ENSG00000055211
Q15438	ENSG00000108669
K7EMY1	ENSG00000079999
Q15814	ENSG00000124659
Q96DN2	ENSG00000167992
P0C0E4	ENSG00000102128
F5H6F7	ENSG00000184154
Q9NZJ6	ENSG00000132423
Q9Y2I7	ENSG00000115020
Q8NEM8	ENSG00000146856
Q6P1R3	ENSG00000120458
Q8WY98	ENSG00000160055
O75128	ENSG00000106078
F8VZG9	ENSG00000078328
E9PKV2	ENSG00000158042
Q9BQ90	ENSG00000124702
Q96K78	ENSG00000144820
Q562F6	ENSG00000163535
Q8TB03-2	ENSG00000185753
Q5THJ4	ENSG00000048707
Q03519	ENSG00000204267
Q8IUM7	ENSG00000174576
Q96L58	ENSG00000176022
Q96LU7	ENSG00000166268
Q9BY12	ENSG00000140386
Q9H0B6-2	ENSG00000174996
F8W8Z9	ENSG00000175768
B1ANH5	ENSG00000143774
P23142	ENSG00000077942
Q9UN66	ENSG00000120322
Q6UWH4	ENSG00000164125
H0YL77	ENSG00000259371
P46100	ENSG00000085224
Q15256	ENSG00000153233
Q04721	ENSG00000134250
Q9BZZ5-2	ENSG00000166181
P04920	ENSG00000164889
Q969P6	ENSG00000184428
Q15819	ENSG00000169139
Q15036	ENSG00000115234
P46199	ENSG00000085760
Q9NRX4	ENSG00000054148
O94901	ENSG00000164828
O60610	ENSG00000131504
Q12846	ENSG00000103496
O00571	ENSG00000215301
Q14686	ENSG00000198646
Q03701	ENSG00000115816
Q92733	ENSG00000143294
Q7Z3S7-4	ENSG00000151062
Q9NRA0	ENSG00000063176
O60479	ENSG00000064195
P26447	ENSG00000196154
Q13619	ENSG00000139842
Q6ZUT9	ENSG00000170456
Q96EK4	ENSG00000168286
K7EL32	ENSG00000172009
P27348	ENSG00000134308
Q96K21-3	ENSG00000166140
O75711	ENSG00000164106
Q9P243	ENSG00000066827
Q9P0X4	ENSG00000100346
Q9BRR6	ENSG00000159322
A6NH11	ENSG00000182327
Q9HBM0	ENSG00000028203
P00395	ENSG00000198804
P48740-3	ENSG00000127241
Q9HBI0	ENSG00000138964
Q8TER5	ENSG00000165801
Q02078-2	ENSG00000068305
P01814	ENSG00000274576
O60292	ENSG00000105738
F5GY16	ENSG00000165458
Q7Z3D4	ENSG00000176018
Q13214	ENSG00000012171
K4DIA0	ENSG00000160223
Q9H1Y0	ENSG00000057663
Q96HY3	ENSG00000160014
O75880	ENSG00000133028
O75056	ENSG00000162512
